transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar
0x88a4b9b38bf34c92ec9547d67fe0d96afd44d5c00fc5332b42c21396ca8a9d99,0,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,39523,39523,,,1,350525954769,,,,
0x1ab0c09b4439d59dfa182087e8cd8180d8b58e0331c2b66abe8b126252de4260,1,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,79046,39523,,,1,355430351718,,,,
0xaf6f28f41cdfe4cdab4b5cf7fc31ce3749db5378f12c95bbf0c718272baf594c,2,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,135669,56623,,,1,360216216500,,,,
0x30ed47151b597d8ccc283b996eb785f4d5ce9d8fc7c0fb925613b806a84e575f,3,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,175192,39523,,,1,355430351718,,,,
0xeff79e666802d2e16b9b19942c61c20a0da2ce23564e1ae8c4fd511778ac313a,4,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,482432,307240,,,1,348695440721,,,,
0x9d17c5df3a5e80689169ac4f44d54984f86b8e1e200673e405970055adeb4256,5,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,916108,433676,,,1,343291797440,,,,
0xd2c3b07ebc8c28752c520bedb31fabd725ad7f77ed1f0cb0fea82ffc334df412,6,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,967880,51772,,,1,341155953292,,,,
0x62e06cf8544d1f3f482a0709190f8e01a3947699813d3cdc01b81e4a7fef4c35,7,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,1008151,40271,,,1,331548412190,,,,
0x311e91c3699fa89c5ed0779f09a4385aa1957830ce37bb857ff4fa88a0708468,8,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,1184672,176521,,,1,314367165132,,,,
0xb3cde98e17ad275abca87ed48ecdd416e710039aed48d222e74d0ee5c5aff27b,9,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,1289908,105236,,,1,312591984922,,,,
0x795261031c39a9c9a0dcca02ddae6bcea1c899c7755bdf5fa7a19b644729ba51,10,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,1466407,176499,,,1,304562336290,,,,
0x92bc897aef9c1ce8155a64b8792fc6028c39b73ec55e12cae4f872eb32e211ce,11,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,1685651,219244,,,1,296268622676,,,,
