hash,nonce,block_hash,block_number,transaction_index,from_address,to_address,value,gas,gas_price,input,block_timestamp,max_fee_per_gas,max_priority_fee_per_gas,transaction_type
0x88a4b9b38bf34c92ec9547d67fe0d96afd44d5c00fc5332b42c21396ca8a9d99,1888579,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,0,0x6dd23e950878b1142772335cd122e92d47876c3e,0xa3fb72cbf2e07dc1b34aea569ed40755fd978bd8,0.0,6e-05,350525954769,0xa9059cbb0000000000000000000000006372aab89a85e5e38a59a1488eb95b59f946760f000000000000000000000000000000000000000000000000000000000e01d0c0,1705416593,350525954769,234433969846,2
0x1ab0c09b4439d59dfa182087e8cd8180d8b58e0331c2b66abe8b126252de4260,1888580,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,1,0x6dd23e950878b1142772335cd122e92d47876c3e,0xa3fb72cbf2e07dc1b34aea569ed40755fd978bd8,0.0,6e-05,355430351718,0xa9059cbb0000000000000000000000004bda510814243287e71d8067bfd6a1a18c346f140000000000000000000000000000000000000000000000000000000342770c00,1705416593,355697909292,237881939528,2
0xaf6f28f41cdfe4cdab4b5cf7fc31ce3749db5378f12c95bbf0c718272baf594c,1888581,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,2,0x6dd23e950878b1142772335cd122e92d47876c3e,0xa3fb72cbf2e07dc1b34aea569ed40755fd978bd8,0.0,6e-05,360216216500,0xa9059cbb00000000000000000000000090072a85399f658852168c2d0a124e1f4f3efeb0000000000000000000000000000000000000000000000000000000012a05f200,1705416593,362876706465,242667804310,2
0x30ed47151b597d8ccc283b996eb785f4d5ce9d8fc7c0fb925613b806a84e575f,1888582,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,3,0x6dd23e950878b1142772335cd122e92d47876c3e,0xa3fb72cbf2e07dc1b34aea569ed40755fd978bd8,0.0,6e-05,355430351718,0xa9059cbb0000000000000000000000002281a385dcb994f23e7429e1d4d6f38e3249b04a00000000000000000000000000000000000000000000000000000000178b38c0,1705416593,355697909292,237881939528,2
0xeff79e666802d2e16b9b19942c61c20a0da2ce23564e1ae8c4fd511778ac313a,0,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,4,0x5421a071002830ad270c7f2cd7e34f58d5f8cc67,0xf3a3d1b89a70e291531ecb4a1299117f5de44612,0.0,0.000347261,348695440721,0x0840605a000000000000000000000000cfea18dacc896660e753e5e85f16b2994a586713,1705416593,501357069289,231147028531,2
0x9d17c5df3a5e80689169ac4f44d54984f86b8e1e200673e405970055adeb4256,8,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,5,0xfeb4f4973da1baa7b5b749ed60fb66841666afa2,0xf3a3d1b89a70e291531ecb4a1299117f5de44612,0.0,0.00052,343291797440,0xd96a094a0000000000000000000000000000000000000000000000000000000000000003,1705416593,,,0
0xd2c3b07ebc8c28752c520bedb31fabd725ad7f77ed1f0cb0fea82ffc334df412,9,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,6,0x90b84f599caeba3fd9dcb44adf32d1c6880608e7,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,0.0,6.5027e-05,341155953292,0x095ea7b3000000000000000000000000f3a3d1b89a70e291531ecb4a1299117f5de44612000000000000000000000000000000000000000000000004563918244f400000,1705416593,483046885534,223607541102,2
0x62e06cf8544d1f3f482a0709190f8e01a3947699813d3cdc01b81e4a7fef4c35,0,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,7,0xd90054a355c3ef384e3635bc07e66b0afcd21892,0x3c499c542cef5e3811e1192ce70d8cc03d5c3359,0.0,0.00015,331548412190,0xa9059cbb00000000000000000000000006959153b974d0d5fdfd87d561db6d8d4fa0bb0b00000000000000000000000000000000000000000000000000000000361139f2,1705416593,370000000000,214000000000,2
0x311e91c3699fa89c5ed0779f09a4385aa1957830ce37bb857ff4fa88a0708468,32511901,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,8,0x7537cb7b7e8083ff8e68cb5c0ca18553ab54946f,0x772251e809d72bd9ab82a51d5c407b8c22e6decb,0.0,0.004,314367165132,0xc98075390000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000000000000000032000000000000000000000000000000000000000000000000000000000000004000101000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000028000000000000000000000007148df18eee8b6aefb3ed3d09fa11de200050656010c0a0e0b07010804030d0f000609020500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000014a82b2c0000000000000000000000000000000000000000000000000000000014a8bded0000000000000000000000000000000000000000000000000000000014a8f2fe0000000000000000000000000000000000000000000000000000000014a90f700000000000000000000000000000000000000000000000000000000014a912e00000000000000000000000000000000000000000000000000000000014a956e60000000000000000000000000000000000000000000000000000000014a98c8f0000000000000000000000000000000000000000000000000000000014aa065d0000000000000000000000000000000000000000000000000000000014aa54380000000000000000000000000000000000000000000000000000000014aa54380000000000000000000000000000000000000000000000000000000014aa54380000000000000000000000000000000000000000000000000000000014ab8d990000000000000000000000000000000000000000000000000000000014abbf800000000000000000000000000000000000000000000000000000000014abf2660000000000000000000000000000000000000000000000000000000014ad786a0000000000000000000000000000000000000000000000000000000014aeaf930000000000000000000000000000000000000000000000000000000000000006656800418e624f177bf071ed5c5ab46c91ab384c39afe2a1a4357dd3f7f38a71029607948fa1fc8e5e66559dcbb498fac76797dfbfddf2b0f3b07c451aca648de29c0a71a94fbb86a6109e83073e07521416e5a1cee07ce2d0b900df8891385fb1e4f9b6648950ff0bf79f53ad7895398255ac4db8aa6a1dad674a1de594d03063bd32c30c4f3f2d793719996e0a8db2b80d670fa566880bd249e5471f84c9b7e3165c14da6bf1c0da54954fd93356c13c0f51cefbbde500b3b9409a725462f900000000000000000000000000000000000000000000000000000000000000064275b4212f97bd90ad2b1951e015c7d94a0878de02d5c8e19335d8610d40058f23a5998f45e7e609c4b2ce7be27faa64513d041567b3468759cbf7cf35e191195510ef3f4fce5a51cd5cdb408f2b7701cc7437d80860d783f9bffa97e619150d060a8be633b4b49d0711736418a0542e894b03321bc4f10f3a549e312a15909470aa4a8e2e207330ff01d9ce15d4b8a8bee333652faafeb1bc568d2ef33ba9be6a02213c88286a47b2091640110e2b30d0e5a7ca0c9010ad43c96a4b42e309fa,1705416593,,,0
0xb3cde98e17ad275abca87ed48ecdd416e710039aed48d222e74d0ee5c5aff27b,499791,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,9,0xbdb04284f87a89b26de8587895a41bcdda431408,0x80ed28d84792d8b153bf2f25f0c4b7a1381de4ab,0.0,0.0003,312591984922,0x48d9f01e00000000000000000000000042a932aa6e108fb2d58091492cc72b19338ae9ac00000000000000000000000000000000000000000000000116210a2a9efa56fd00000000000000000000000000000000000000000000000002088e2f94005d002ccecc1ff2ac0424a85d647689311521e5886c3ede3a327bc65ada021f9adb8800000000000000000000000000000000000000000000000000000000000000a00000000000000000000000000000000000000000000000000000000000000041d44b32fef2dee638af65c4cfeeaf0fe56fd3d3865e9a484ba541dc989fa401ef1be09293c5ef79471bc60145ba0eb257dff856c016038ab1ecb8a99a7f85f6ce1c00000000000000000000000000000000000000000000000000000000000000,1705416593,312591984922,196500000000,2
